date,Number_of_users,ALL_users
2020-01-05,95.17,1
2020-01-06,95.83,1
2020-1-9,95.32,1
2020-1-10,95.37,1
2020-1-11,95.41,1
2020-1-12,95.46,1
2020-1-13,95.50,1
2020-1-14,95.55,1
2020-1-15,95.60,1
2020-1-16,95.66,1
2020-1-17,95.72,1
2020-1-18,95.78,1
2020-1-19,95.83,1
2020-1-20,95.89,1
2020-1-21,95.95,1
2020-1-22,96.02,1
2020-1-23,96.08,1
2020-1-24,96.14,1
2020-1-25,96.19,1
2020-1-26,96.24,1
2020-1-27,96.27,1
2020-1-28,96.31,1
2020-1-29,96.34,1
2020-1-30,96.37,1
2020-1-31,96.4,1
2020-2-1,96.42,1
2020-2-2,0.0,1
2020-2-2,97.08,1
2020-2-3,97.07,1
2020-2-4,97.83,1
2020-2-5,97.82,1
2020-2-6,97.81,1
2020-2-7,97.79,1
2020-2-8,97.78,1
2020-2-9,97.77,1
2020-2-10,97.76,1
2020-2-11,97.7614,108.2206
2020-2-12,97.7344,108.1918
2020-2-13,97.7351,108.194
2020-2-14,97.7036,108.1644
2020-2-15,97.7194,108.1816
2020-2-16,97.7535,108.2157
2020-2-17,97.7733,108.2341
2020-2-18,97.8481,108.3119
2020-2-19,97.9195,108.3864
2020-2-20,97.9793,108.453
2020-2-21,98.0587,108.5411
2020-2-22,98.1483,108.637
2020-2-23,98.2257,108.7162
2020-2-24,98.3331,108.8261
2020-2-25,98.5097,109.0093
2020-2-26,98.6582,109.1724
2020-2-27,98.7782,109.3056
2020-2-28,98.8904,109.4249
2020-2-29,98.9583,109.4984
2020-3-1,98.9067,109.4455
2020-3-2,99.0521,109.5926
2020-3-3,99.1711,109.7214
2020-3-4,99.2449,109.8036
2020-3-5,99.3095,109.8703
2020-3-6,99.3768,109.9424
2020-3-7,99.4189,109.9905
2020-3-8,99.463,110.0321
2020-3-9,99.4906,110.0552
2020-3-10,99.5534,110.1246
2020-3-11,99.6068,110.1811
2020-3-12,99.604,110.1825
2020-3-13,99.6069,110.1767
2020-3-14,99.6356,110.2063
2020-3-15,99.6458,110.2126
2020-3-16,99.658,110.2195
2020-3-17,99.6939,110.2698
2020-3-18,99.7589,110.3411
2020-3-19,99.8023,110.3879
2020-3-20,99.8418,110.4338
2020-3-21,99.878,110.473
2020-3-22,99.8996,110.4949
2020-3-23,99.8972,110.4907
2020-3-24,99.9523,110.5522
2020-3-25,99.9947,110.5964
2020-3-26,100.0054,110.611
2020-3-27,100.0045,110.614
