max_time,ck_flow,hl_flow,idc_flow,total_flow,ck_per,hl_per,idc_per,nwl_per,all_user,average_bandwidth
2020/9/1 20:00,80.8,216.34,642.99,940.12,8.59,23.01,68.39,91.41,118.23,876.04
2020/9/2 20:15,86.26,224.25,697.09,1007.6,8.56,22.26,69.18,91.44,118.18,939.33
2020/9/3 19:40,104.26,235.64,751.15,1091.05,9.56,21.6,68.85,90.44,118.21,1016.79
2020/9/4 19:55,103.01,228.43,722.19,1053.64,9.78,21.68,68.54,90.22,118.18,982.15
2020/9/5 20:00,98.79,222.95,676.87,998.6,9.89,22.33,67.78,90.11,118.24,930.4
2020/9/6 20:05,91.04,211.89,645.62,948.55,9.6,22.34,68.06,90.4,118.24,883.76
2020/9/7 19:35,104.13,235.86,730.73,1070.72,9.73,22.03,68.25,90.27,118.22,997.69
2020/9/8 19:30,109.27,275.92,761.94,1147.14,9.53,24.05,66.42,90.47,118.27,1068.46
2020/9/9 19:40,99.6,235.85,744.82,1080.28,9.22,21.83,68.95,90.78,118.27,1006.26
2020/9/10 19:40,93.76,221.32,690.04,1005.13,9.33,22.02,68.65,90.67,118.27,936.28
2020/9/11 20:20,89.56,219.04,692.34,1000.94,8.95,21.88,69.17,91.05,118.28,932.22
2020/9/12 20:00,89.28,226.81,691.56,1007.65,8.86,22.51,68.63,91.14,118.33,938.06
2020/9/13 20:00,89.75,214.47,652.41,956.62,9.38,22.42,68.2,90.62,118.35,890.4
2020/9/14 19:55,83.44,214.13,644.3,941.87,8.86,22.73,68.41,91.14,118.35,876.67
2020/9/15 19:45,76.98,233.3,711.13,1021.41,7.54,22.84,69.62,92.46,118.41,950.14
2020/9/16 19:45,79.31,235.63,737.57,1052.52,7.54,22.39,70.08,92.46,118.43,979
2020/9/17 19:50,79.19,240.95,740.84,1060.98,7.46,22.71,69.83,92.54,118.46,939.42
2020/9/18 19:50,79.47,239.23,737.8,1056.5,7.52,22.64,69.83,92.48,118.48,935.27
2020/9/19 19:40,82.27,248.63,768.9,1099.8,7.48,22.61,69.91,92.52,118.52,973.31
2020/9/20 19:45,78.6,238.73,706.79,1024.11,7.67,23.31,69.02,92.33,118.53,906.24
2020/9/21 19:45,73.89,231.43,693.59,998.91,7.4,23.17,69.43,92.6,118.52,883.98
2020/9/22 19:40,74.1,236.03,732.08,1042.21,7.11,22.65,70.24,92.89,118.6,921.69
2020/9/23 19:45,78.53,236.38,704.14,1019.05,7.71,23.2,69.1,92.29,118.64,900.88
2020/9/24 19:35,82.66,236.61,749.42,1068.69,7.73,22.14,70.13,92.27,118.69,944.33
2020/9/25 19:45,83.22,241.49,773.34,1098.05,7.58,21.99,70.43,92.42,118.74,969.81
2020/9/26 19:45,84.52,247.6,721.17,1053.3,8.02,23.51,68.47,91.98,118.77,930.07
2020/9/27 19:35,83.04,233.76,700.63,1017.44,8.16,22.98,68.86,91.84,118.8,898.13
2020/9/28 19:35,84.79,247.95,753.71,1086.46,7.8,22.82,69.37,92.2,118.84,958.76
2020/9/29 19:40,81.56,240.14,712.01,1033.72,7.89,23.23,68.88,92.11,118.94,911.47
2020/9/30 19:55,83.5,241.33,794.52,1119.35,7.46,21.56,70.98,92.54,119.24,984.43
2020/10/1 19:40,89.53,265.61,830.57,1185.72,7.55,22.4,70.05,92.45,119.37,1041.67
2020/10/2 19:35,93.94,257.54,832.39,1183.87,7.93,21.75,70.31,92.07,119.34,1040.19
2020/10/3 19:40,96.38,252.39,806.57,1155.34,8.34,21.85,69.81,91.66,119.35,1015.01
2020/10/4 19:30,98.34,266.32,841.1,1205.75,8.16,22.09,69.76,91.84,119.38,1059.01
2020/10/5 19:35,97.14,253.58,804.68,1155.4,8.41,21.95,69.65,91.59,119.43,1014.38
2020/10/6 19:35,95.57,248.72,774.01,1118.3,8.55,22.24,69.21,91.45,119.47,981.48
2020/10/7 19:40,96.7,256.42,750.08,1103.2,8.77,23.24,67.99,91.23,119.5,967.94
2020/10/8 19:40,90.04,246.33,704.34,1040.71,8.65,23.67,67.68,91.35,119.52,912.88
2020/10/9 19:40,84.2,240.13,693.96,1018.3,8.27,23.58,68.15,91.73,119.59,892.72
2020/10/10 19:35,86.67,246.79,735.94,1069.39,8.1,23.08,68.82,91.9,119.6,937.51
2020/10/11 19:30,92.19,251.98,744.22,1088.39,8.47,23.15,68.38,91.53,119.59,954.27
2020/10/12 19:35,84.02,236.54,682.71,1003.27,8.37,23.58,68.05,91.63,119.57,879.75
2020/10/13 19:40,84.25,236.86,685.15,1006.26,8.37,23.54,68.09,91.63,119.59,882.28
2020/10/14 19:35,84.38,242.31,705.6,1032.29,8.17,23.47,68.35,91.83,119.59,905.08
2020/10/15 19:40,88.33,242.07,692.82,1023.22,8.63,23.66,67.71,91.37,119.6,897.08
2020/10/16 19:40,90.48,250.17,740.05,1080.71,8.37,23.15,68.48,91.63,119.59,947.55
2020/10/17 19:35,90.3,255.75,746.81,1092.86,8.26,23.4,68.34,91.74,119.59,958.17
2020/10/18 19:40,93.69,251.66,718.47,1063.82,8.81,23.66,67.54,91.19,119.58,932.85
2020/10/19 19:40,85,238.85,684.96,1008.82,8.43,23.68,67.9,91.57,119.55,884.79
2020/10/20 19:35,98.65,236.39,682.84,1017.88,9.69,23.22,67.08,90.31,119.58,892.52
2020/10/21 19:25,87.01,250.59,745.9,1083.51,8.03,23.13,68.84,91.97,119.59,949.92
2020/10/22 19:30,87.34,245.84,696.79,1029.97,8.48,23.87,67.65,91.52,119.61,902.86
2020/10/23 19:35,94.37,258.92,767.28,1120.58,8.42,23.11,68.47,91.58,119.65,981.97
2020/10/24 19:45,97.47,254.08,747.3,1098.85,8.87,23.12,68.01,91.13,119.67,962.74
2020/10/25 19:40,98.28,262.03,704.54,1064.85,9.23,24.61,66.16,90.77,119.68,932.81
2020/10/26 19:35,87.32,244.76,699.14,1031.22,8.47,23.73,67.8,91.53,119.69,903.31
2020/10/27 19:25,91.82,246.73,701.78,1040.32,8.83,23.72,67.46,91.17,119.59,912.07
2020/10/28 19:25,88.09,253.15,730.32,1071.56,8.22,23.62,68.15,91.77,119.62,939.22
2020/10/29 19:35,84.26,256.45,713.72,1054.43,7.99,24.32,67.69,92.01,119.64,923.99
2020-10-30 19:45:00,97.89,264.18,789.48,1151.54,8.5,22.94,68.56,91.5,119.7,962.02
